municipio_id,Municipio,Capital,UF
2112274,Tufilândia,Falso,MA
2109908,Santa Inês,Falso,MA
2100873,Araguanã,Falso,MA
2104651,Governador Newton Bello,Falso,MA
2108504,Pindaré-Mirim,Falso,MA
2110005,Santa Luzia,Falso,MA
2107357,Nova Olinda do Maranhão,Falso,MA
2113009,Vitorino Freire,Falso,MA
2102150,Brejo de Areia,Falso,MA
2105708,Lago da Pedra,Falso,MA
2100402,Altamira do Maranhão,Falso,MA
2108108,Paulo Ramos,Falso,MA
2106359,Marajá do Sena,Falso,MA
2105963,Lagoa Grande do Maranhão,Falso,MA
2109239,Presidente Médici,Falso,MA
2110039,Santa Luzia do Paruá,Falso,MA
2102325,Buriticupu,Falso,MA
2102036,Bom Jesus das Selvas,Falso,MA
2105302,Imperatriz,Falso,MA
2111763,Senador La Rocque,Falso,MA
2107001,Montes Altos,Falso,MA
2104552,Governador Edison Lobão,Falso,MA
2109551,Ribamar Fiquene,Falso,MA
2103257,Cidelândia,Falso,MA
2102358,Buritirana,Falso,MA
2111532,São Pedro da Água Branca,Falso,MA
2103752,Davinópolis,Falso,MA
2100600,Amarante do Maranhão,Falso,MA
2105989,Lajeado Novo,Falso,MA
2105500,João Lisboa,Falso,MA
2112852,Vila Nova dos Martírios,Falso,MA
2100055,Açailândia,Falso,MA
2110856,São Francisco do Brejão,Falso,MA
2105427,Itinga do Maranhão,Falso,MA
2108702,Pio XII,Falso,MA
2105906,Lago Verde,Falso,MA
2111508,São Mateus do Maranhão,Falso,MA
2107407,Olho d'Água das Cunhãs,Falso,MA
2101202,Bacabal,Falso,MA
2102077,Bom Lugar,Falso,MA
2111722,Satubinha,Falso,MA
2111409,São Luís Gonzaga do Maranhão,Falso,MA
2105807,Lago do Junco,Falso,MA
2105948,Lago dos Rodrigues,Falso,MA
2105203,Igarapé Grande,Falso,MA
2111631,São Raimundo do Doca Bezerra,Falso,MA
2112233,Trizidela do Vale,Falso,MA
2111672,São Roberto,Falso,MA
2110302,Santo Antônio dos Lopes,Falso,MA
2106003,Lima Campos,Falso,MA
2101939,Bernardo do Mearim,Falso,MA
2108207,Pedreiras,Falso,MA
2108900,Poção de Pedras,Falso,MA
2104008,Esperantinópolis,Falso,MA
2105609,Joselândia,Falso,MA
2112308,Tuntum,Falso,MA
2109759,Santa Filomena do Maranhão,Falso,MA
2100956,Arame,Falso,MA
2105476,Jenipapo dos Vieiras,Falso,MA
2104081,Fernando Falcão,Falso,MA
2101608,Barra do Corda,Falso,MA
2104099,Formosa da Serra Negra,Falso,MA
2104800,Grajaú,Falso,MA
2105351,Itaipava do Grajaú,Falso,MA
2111805,Sítio Novo,Falso,MA
2110708,São Domingos do Maranhão,Falso,MA
2104602,Governador Eugênio Barros,Falso,MA
2109106,Presidente Dutra,Falso,MA
2104701,Graça Aranha,Falso,MA
2104628,Governador Luiz Rocha,Falso,MA
2111748,Senador Alexandre Costa,Falso,MA
2104404,Gonçalves Dias,Falso,MA
2104503,Governador Archer,Falso,MA
2111250,São José dos Basílios,Falso,MA
2104206,Fortuna,Falso,MA
2103802,Dom Pedro,Falso,MA
2110104,Santa Quitéria do Maranhão,Falso,MA
2106300,Magalhães de Almeida,Falso,MA
2100907,Araioses,Falso,MA
2110237,Santana do Maranhão,Falso,MA
2100154,Água Doce do Maranhão,Falso,MA
2110609,São Bernardo,Falso,MA
2101731,Belágua,Falso,MA
2102101,Brejo,Falso,MA
2110401,São Benedito do Rio Preto,Falso,MA
2100808,Anapurus,Falso,MA
2106672,Milagres do Maranhão,Falso,MA
2112605,Urbano Santos,Falso,MA
2102200,Buriti,Falso,MA
2103208,Chapadinha,Falso,MA
